IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "March 30,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:03"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID     XYZ_X     XYZ_Y     XYZ_Z     LAB_L     LAB_A     LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
H06      10.35   13.32   17.58   43.25  -17.72  -17.33   24.79  224.37
H07       9.41   13.58   21.27   43.62  -26.74  -24.52   36.28  222.52
H08       8.84   13.65   24.73   43.73  -32.00  -30.89   44.47  223.99
H09      42.96   46.00   42.63   73.54   -4.03   -6.14    7.35  236.72
H10      41.27   45.91   46.19   73.48   -8.84  -10.59   13.80  230.14
H11      39.59   45.99   50.15   73.54  -14.26  -15.08   20.75  226.60
H12      37.66   44.86   52.37   72.80  -17.21  -18.82   25.50  227.55
H13      22.93   32.62   46.38   63.85  -34.39  -27.43   43.98  218.57
H14      39.84   25.08   43.52   57.15   57.13  -35.51   67.26  328.14
H15      60.93   61.31   10.69   82.55    4.35   68.70   68.83   86.38
H16       7.18    7.46    6.50   32.83   -0.05   -1.59    1.59  268.28
H17      30.70   20.21    7.34   52.08   48.03   28.09   55.64   30.32
H18      15.10   23.55    8.45   55.64  -39.26   29.91   49.35  142.70
H19      11.43    9.38   30.58   36.72   18.47  -52.80   55.94  289.28
H20      30.76   28.83   16.31   60.63   11.37   15.58   19.29   53.88
H21      39.69   36.24   22.40   66.71   15.50   13.07   20.27   40.15
H22      33.97   28.80   16.85   60.60   23.00   14.27   27.07   31.81
I01       4.64    4.74    6.57   25.97    1.00  -13.71   13.75  274.17
I02       4.93    5.10   10.05   27.02    0.20  -24.99   24.99  270.45
I03       5.16    5.37   14.44   27.76   -0.14  -36.44   36.44  269.79
I04       5.21    5.35   17.90   27.69    0.77  -44.86   44.86  270.98
I05      15.39   15.85   17.20   46.78    0.66  -10.36   10.38  273.66
I06      15.77   15.99   22.86   46.95    2.09  -21.87   21.97  275.46
I07      15.80   16.09   27.99   47.09    1.70  -30.74   30.79  273.17
I08      15.85   16.18   32.80   47.21    1.52  -38.12   38.15  272.28
I09      43.88   45.27   42.47   73.07    0.73   -6.76    6.80  276.16
I10      43.90   45.12   46.65   72.97    1.23  -12.03   12.09  275.82
I11      44.45   45.69   50.88   73.35    1.20  -16.23   16.28  274.24
I12      43.78   44.90   53.13   72.83    1.48  -19.59   19.65  274.31
I13      18.78   27.98   42.94   59.87  -37.15  -30.10   47.81  219.02
I14      36.29   21.29   40.33   53.26   62.51  -38.17   73.24  328.59
I15      58.92   58.50    7.84   81.01    6.19   76.00   76.25   85.34
I16       4.55    4.76    4.15   26.03   -0.46   -1.41    1.48  251.81
I17      27.48   17.04    5.07   48.31   51.91   31.93   60.94   31.60
I18      11.42   19.19    6.19   50.91  -42.79   30.98   52.83  144.10
I19       8.59    6.63   26.85   30.95   20.96  -56.65   60.40  290.31
I20      37.91   36.15   24.80   66.64   10.17    8.47   13.24   39.79
I21      32.18   28.83   20.24   60.64   16.53    6.91   17.91   22.69
I22      41.02   35.80   25.70   66.37   21.06    6.41   22.01   16.91
J01       2.54    2.25    3.53   16.76    7.49  -13.48   15.42  299.07
J02       2.80    2.27    5.92   16.86   12.14  -26.44   29.09  294.66
J03       3.23    2.31    9.45   17.03   18.76  -40.19   44.35  295.03
J04       3.61    2.31   13.64   17.00   25.04  -52.90   58.53  295.33
J05      12.48   11.87   13.44   41.01    7.25  -10.96   13.14  303.48
J06      13.78   12.32   18.64   41.72   12.66  -22.31   25.65  299.57
J07      14.40   12.27   23.55   41.63   16.92  -32.35   36.51  297.61
J08      15.33   12.26   29.32   41.62   22.51  -42.33   47.95  298.00
J09      44.99   45.31   42.84   73.09    3.85   -7.18    8.15  298.18
J10      45.55   45.18   46.58   73.01    5.81  -11.87   13.21  296.09
J11      46.75   45.40   51.22   73.15    8.58  -16.94   18.99  296.86
J12      47.70   45.27   53.81   73.07   11.57  -19.91   23.02  300.15
J13      15.59   24.17   39.87   56.26  -39.06  -32.40   50.74  219.68
J14      33.23   18.25   37.34   49.80   67.00  -40.15   78.11  329.07
J15      57.11   55.88    5.80   79.55    8.13   82.21   82.61   84.36
J16       2.78    2.91    2.64   19.67   -0.44   -2.04    2.09  257.78
J17      24.76   14.52    3.56   44.97   55.06   34.97   65.23   32.42
J18       8.69   15.71    4.62   46.60  -45.62   31.40   55.38  145.46
J19       6.13    4.60   21.67   25.57   20.36  -56.44   60.00  289.84
J20      26.07   23.38    9.90   55.46   15.35   24.54   28.94   57.96
J21      20.75   17.30    6.98   48.64   21.01   23.65   31.64   48.39
J22      27.52   22.16    9.68   54.20   26.64   23.10   35.26   40.93
K01       6.05    4.93    5.86   26.55   15.37   -9.47   18.05  328.35
K02       8.00    5.33    8.49   27.64   29.98  -18.47   35.21  328.36
K03      10.47    6.05   11.42   29.53   42.31  -24.97   49.12  329.46
K04      10.91    6.26   11.86   30.06   43.30  -25.38   50.19  329.63
K05      17.98   16.06   16.99   47.05   13.91   -9.42   16.80  325.91
K06      20.70   16.34   21.40   47.42   26.10  -18.23   31.84  325.06
K07      22.84   16.17   25.65   47.19   37.04  -26.57   45.58  324.34
K08      25.26   15.79   30.90   46.69   49.75  -36.10   61.46  324.03
K09      46.64   45.36   42.42   73.13    8.38   -6.59   10.66  321.81
K10      47.91   44.43   45.32   72.52   14.56  -11.22   18.38  322.38
K11      51.89   46.07   49.88   73.59   20.60  -14.68   25.29  324.53
K12      52.92   44.85   52.77   72.80   26.70  -19.26   32.92  324.19
K13      12.93   20.78   36.77   52.71  -40.22  -34.34   52.89  220.49
K14      30.50   15.79   34.58   46.70   70.49  -41.62   81.86  329.44
K15      55.21   53.22    4.39   78.01   10.05   86.85   87.42   83.40
K16       1.68    1.76    1.66   14.16   -0.37   -2.39    2.42  261.13
