IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
G05       9.11   11.31    9.74   40.10  -14.03   -1.41   14.10  185.74
G06       7.99   11.66   10.27   40.66  -26.25   -2.17   26.34  184.71
G07       6.79   11.88   10.97   41.02  -39.31   -3.78   39.49  185.49
G08       5.86   11.18   11.40   39.88  -44.22   -7.08   44.78  189.10
G09      37.62   40.87   34.80   70.08   -5.63   -1.60    5.85  195.89
G10      35.36   40.71   35.04   69.97  -12.63   -2.14   12.81  189.62
G11      33.91   41.37   36.67   70.44  -19.58   -3.64   19.91  190.52
G12      31.43   40.03   36.67   69.49  -24.34   -5.26   24.90  192.19
G13      26.90   36.84   49.07   67.15  -31.65  -24.87   40.25  218.16
G14      43.36   29.13   46.47   60.90   51.67  -32.63   61.11  327.73
G15      62.42   63.52   13.88   83.72    2.78   61.51   61.58   87.41
G16      10.67   11.13    9.48   39.81   -0.48   -1.03    1.14  245.30
G17      34.04   23.77    9.69   55.86   43.72   25.94   50.83   30.69
G18      18.84   27.73   10.73   59.65  -35.87   29.08   46.17  140.97
G19      14.73   12.67   34.19   42.26   16.23  -48.70   51.33  288.43
G20      34.96   33.72   16.90   64.74    8.58   21.30   22.96   68.05
G21      29.28   26.71   12.44   58.70   14.15   22.33   26.44   57.64
G22      37.28   32.63   16.58   63.86   20.09   20.52   28.72   45.61
H01       2.51    2.92    3.31   19.70   -5.64   -6.92    8.92  230.84
H02       2.32    3.03    4.45   20.16  -11.59  -13.22   17.58  228.75
H03       2.60    3.56    5.76   22.17  -14.62  -16.53   22.07  228.52
H04       2.63    3.59    5.98   22.26  -14.33  -17.44   22.57  230.58
H05       9.74   11.32   12.07   40.11   -8.94   -8.67   12.45  224.10
H06       9.21   12.02   15.75   41.25  -18.16  -16.47   24.51  222.20
H07       8.37   12.19   19.07   41.52  -26.51  -23.59   35.48  221.66
H08       7.87   12.24   22.32   41.58  -31.31  -30.09   43.42  223.87
H09      37.90   40.67   37.90   69.95   -4.12   -6.17    7.42  236.26
H10      36.44   40.66   41.32   69.94   -8.84  -10.70   13.88  230.42
H11      35.16   41.00   45.57   70.18  -14.18  -15.55   21.05  227.64
