IT8.7/2
ORIGINATOR  "DCS"
DESCRIPTOR  "calibration data"
CREATED  "Mai 29,1998"
MANUFACTURER  "DCS"
PROD_DATE  "1998:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X  XYZ_Y  XYZ_Z  LAB_L  LAB_A  LAB_B  LAB_C  LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
K14      25.50   13.00   27.91   42.76   67.72  -38.08   77.69   330.7
K15      52.71   48.48    3.13   75.12   16.10   89.85   91.29    79.8
K16       1.38    1.50    1.48   12.62   -2.03   -3.02    3.64   236.1
K17      18.25    9.93    1.77   37.72   55.52   37.08   66.76    33.7
K18       5.19   10.35    2.50   38.46  -45.94   31.56   55.74   145.5
K19       3.79    2.38   16.34   17.34   26.35  -59.11   64.72   294.0
K20      18.18   16.33    7.90   47.40   13.50   17.77   22.32    52.8
K21      24.35   20.94   11.07   52.89   19.17   16.36   25.20    40.5
K22      20.13   16.32    7.90   47.39   23.44   17.77   29.41    37.2
L01       3.76    2.93    3.10   19.75   15.47   -5.32   16.36   341.0
L02       4.77    2.74    3.24   18.96   32.82   -7.75   33.72   346.7
L03       7.60    4.07    2.96   23.90   42.38    2.86   42.48     3.9
L04       7.60    4.08    2.95   23.93   42.27    2.99   42.38     4.1
L05      13.83   11.80   11.03   40.89   16.53   -4.19   17.05   345.8
L06      16.25   11.45   11.76   40.32   33.42   -7.37   34.22   347.6
L07      18.45   10.87   12.44   39.37   49.50  -11.00   50.70   347.5
L08      19.52    9.93   12.47   37.71   62.11  -13.96   63.66   347.3
L09      46.04   45.24   39.43   73.05    7.01   -2.86    7.57   337.8
L10      48.07   44.74   40.15   72.72   14.12   -4.39   14.78   342.7
L11      50.05   44.41   40.75   72.50   20.44   -5.55   21.18   344.8
L12      50.52   42.24   40.45   71.04   27.98   -7.67   29.01   344.7
L13       8.22   14.12   29.25   44.41  -40.33  -37.43   55.03   222.9
L14      20.44    9.48   22.63   36.90   70.16  -38.77   80.16   331.1
L15      48.76   43.68    2.08   72.02   19.04   93.08   95.01    78.4
L16       0.68    0.72    0.78    6.52   -0.79   -3.44    3.53   257.1
L17      14.08    7.11    0.89   32.06   56.15   38.65   68.17    34.5
L18       3.29    7.10    1.42   32.04  -44.89   31.17   54.65   145.2
L19       2.56    1.29   12.26   11.17   31.99  -59.11   67.21   298.4
L20      23.69   21.44   12.95   53.43   13.91   11.81   18.25    40.3
L21      19.22   16.44    9.42   47.54   18.22   12.51   22.10    34.5
L22      25.64   21.06   12.69   53.01   24.10   11.79   26.83    26.1
Dmin     77.13   79.71   66.35   91.56    0.61   -0.60    0.85   315.8
GS1      70.14   72.83   60.65   88.37   -0.12   -0.60    0.61   258.5
GS2      63.77   66.40   55.49   85.20   -0.50   -0.79    0.94   237.4
GS3      55.77   58.16   49.12   80.83   -0.72   -1.33    1.52   241.6
GS4      49.22   51.37   43.65   76.90   -0.81   -1.61    1.81   243.3
GS5      42.93   44.82   38.27   72.77   -0.80   -1.79    1.96   245.8
GS6      37.51   39.17   33.85   68.87   -0.79   -2.30    2.43   251.1
GS7      32.28   33.64   29.28   64.68   -0.54   -2.54    2.59   258.1
GS8      26.36   27.41   24.17   59.35   -0.21   -2.94    2.95   265.9
GS9      22.46   23.37   20.51   55.45   -0.29   -2.60    2.62   263.6
GS10     18.44   19.24   16.96   50.96   -0.54   -2.60    2.65   258.3
GS11     15.21   15.90   13.99   46.84   -0.70   -2.39    2.49   253.7
GS12     12.67   13.27   11.79   43.16   -0.74   -2.61    2.71   254.2
GS13      9.71   10.21    9.33   38.21   -1.00   -3.26    3.41   252.9
GS14      7.76    8.15    7.52   34.29   -0.92   -3.32    3.44   254.5
GS15      6.00    6.36    5.84   30.31   -1.48   -2.89    3.24   242.9
GS16      4.69    4.99    4.62   26.70   -1.52   -2.87    3.25   242.1
GS17      3.50    3.75    3.49   22.80   -1.80   -2.79    3.32   237.2
GS18      2.57    2.77    2.68   19.09   -1.99   -3.34    3.89   239.3
GS19      1.78    1.94    1.89   15.14   -2.03   -3.09    3.70   236.7
GS20      1.35    1.47    1.46   12.40   -1.93   -3.15    3.69   238.6
GS21      0.87    0.94    0.96    8.49   -1.33   -3.04    3.31   246.4
GS22      0.50    0.52    0.65    4.75   -0.01   -4.11    4.11   269.9
Dmax      0.51    0.52    0.65    4.73    0.05   -4.08    4.08   270.6
END_DATA
