IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
H21      37.00   33.86   21.67   64.85   14.89   11.29   18.69   37.17
H22      31.31   26.81   16.46   58.80   21.30   12.07   24.48   29.54
I01       7.86    7.99   12.63   33.97    1.40  -20.86   20.91  273.84
I02       8.02    7.95   18.60   33.88    3.28  -35.74   35.89  275.24
I03       7.71    7.89   25.14   33.75    1.05  -48.84   48.85  271.23
I04       6.98    7.24   29.15   32.35   -0.01  -58.05   58.05  269.99
I05      19.99   20.47   23.94   52.36    1.30  -14.58   14.64  275.10
I06      20.26   20.42   30.97   52.31    2.89  -26.53   26.69  276.22
I07      20.12   20.19   36.16   52.05    3.30  -34.63   34.79  275.44
I08      19.87   19.79   39.98   51.60    4.03  -40.58   40.78  275.67
I09      36.84   37.39   36.62   67.57    2.66   -8.51    8.92  287.36
I10      37.17   37.64   40.49   67.76    2.93  -13.39   13.71  282.34
I11      36.85   37.20   45.89   67.43    3.30  -20.68   20.94  279.07
I12      36.43   36.66   48.94   67.02    3.67  -24.93   25.20  278.37
I13      25.57   39.32   54.56   68.98  -45.03  -27.76   52.90  211.65
I14      43.46   24.91   45.89   56.99   68.79  -38.67   78.91  330.66
I15      72.83   76.18   10.31   89.94   -1.23   82.64   82.65   90.85
I16       4.69    4.92    4.71   26.50   -0.60   -3.75    3.80  260.91
I17      35.34   21.56    5.39   53.55   58.08   39.36   70.16   34.12
I18      15.63   29.08    8.73   60.85  -58.58   37.87   69.75  147.12
I19      11.04    7.82   36.61   33.60   29.03  -67.06   73.07  293.41
I20      34.67   33.35   24.16   64.44    8.85    5.85   10.61   33.47
I21      29.11   26.18   19.54   58.20   15.63    4.17   16.18   14.94
I22      39.08   33.75   25.09   64.77   21.93    4.73   22.43   12.17
J01       2.26    1.75    4.95   14.13   13.23  -26.38   29.51  296.63
J02       3.04    1.80    9.46   14.42   26.80  -44.74   52.15  300.92
J03       3.60    1.88   14.54   14.87   34.08  -58.94   68.08  300.04
J04       3.57    1.73   16.98   14.03   37.21  -66.35   76.07  299.28
J05      13.33   12.35   16.81   41.77    9.56  -18.11   20.48  297.83
J06      14.72   12.55   22.81   42.07   16.95  -30.19   34.62  299.31
J07      15.97   12.58   29.48   42.12   24.14  -41.76   48.24  300.03
J08      16.77   12.42   34.35   41.88   29.69  -49.59   57.80  300.91
