IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 2,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
J04       3.50    1.56   17.07   12.97   40.74  -68.38   79.60  300.79
J05      13.96   12.74   16.91   42.37   11.02  -17.32   20.53  302.47
J06      15.37   12.83   23.21   42.50   18.98  -30.21   35.68  302.14
J07      16.60   12.77   30.24   42.42   26.41  -42.44   49.99  301.89
J08      17.40   12.53   35.46   42.04   32.40  -50.88   60.32  302.49
J09      39.70   39.43   37.29   69.06    5.39   -6.86    8.72  308.16
J10      41.28   39.63   41.59   69.21    9.61  -12.29   15.60  308.02
J11      42.81   39.89   46.67   69.39   13.44  -18.21   22.63  306.43
J12      44.23   40.18   51.20   69.59   16.74  -23.06   28.50  305.98
J13      19.72   31.88   51.65   63.24  -46.93  -34.50   58.25  216.32
J14      39.14   20.41   42.15   52.29   75.91  -42.17   86.84  330.95
J15      69.84   72.35    6.32   88.14    0.22   94.57   94.57   89.87
J16       2.65    2.75    2.59   19.01    0.03   -2.74    2.74  270.63
J17      31.28   17.78    2.68   49.23   62.48   48.62   79.17   37.89
J18      10.95   22.58    5.38   54.64  -62.29   41.26   74.72  146.48
J19       7.31    4.49   29.51   25.22   33.94  -70.94   78.64  295.57
J20      24.20   22.73   10.17   54.80   10.28   22.49   24.73   65.44
J21      19.42   16.68    6.74   47.86   17.89   23.31   29.38   52.49
J22      27.04   22.14    9.57   54.17   24.87   23.42   34.16   43.28
K01       3.93    3.09    5.23   20.40   15.22  -16.99   22.81  311.85
K02       5.41    3.28    7.38   21.12   31.48  -25.46   40.49  321.04
K03       6.80    3.49    9.22   21.91   43.17  -31.00   53.15  324.32
K04       8.81    4.31   11.89   24.68   49.91  -34.74   60.81  325.16
K05      12.45   10.22   12.89   38.24   18.95  -14.23   23.70  323.10
K06      15.02   10.21   17.73   38.21   35.36  -26.34   44.09  323.32
K07      18.78   10.51   23.86   38.73   53.95  -37.92   65.94  324.90
K08      20.90   10.67   26.95   39.01   63.29  -42.92   76.47  325.86
K09      35.92   33.56   32.52   64.61   12.37   -7.69   14.57  328.13
K10      40.54   35.09   36.88   65.82   21.96  -11.88   24.97  331.59
K11      42.76   33.94   41.48   64.92   32.57  -19.56   37.99  329.01
K12      45.55   33.66   47.15   64.69   41.67  -26.89   49.59  327.17
K13      15.97   26.97   48.74   58.95  -48.41  -38.63   61.93  218.59
K14      35.58   17.12   38.96   48.41   81.04  -44.73   92.56  331.10
K15      68.92   70.38    4.26   87.18    2.37  103.41  103.44   88.69
K16       1.32    1.42    1.41   12.08   -1.41   -3.10    3.41  245.54
K17      28.11   14.98    1.37   45.60   66.06   55.13   86.04   39.85
K18       7.71   17.79    3.51   49.24  -65.73   42.63   78.34  147.03
K19       5.96    2.82   27.74   19.31   45.54  -78.22   90.51  300.21
K20      18.43   16.88    7.86   48.10   11.77   19.15   22.48   58.42
K21      25.03   21.66   10.73   53.67   18.70   18.75   26.48   45.08
K22      20.65   16.78    7.59   47.98   23.37   20.01   30.77   40.57
L01       3.58    2.97    3.29   19.90   12.11   -6.43   13.71  332.03
L02       4.94    3.18    4.04   20.75   27.32   -9.82   29.03  340.23
L03       6.11    3.34    3.99   21.36   38.38   -8.50   39.31  347.51
L04       7.82    4.16    4.24   24.20   43.24   -5.09   43.54  353.29
L05      12.54   10.12   10.17   38.07   20.30   -6.34   21.27  342.66
L06      15.71   10.09   11.33   38.01   40.33  -10.08   41.57  345.97
L07      18.82    9.76   12.99   37.42   59.83  -15.91   61.91  345.11
L08      19.72    9.74   12.76   37.37   64.61  -15.36   66.41  346.63
L09      36.37   33.94   29.60   64.92   12.55   -2.63   12.82  348.16
L10      40.77   34.76   31.48   65.56   23.77   -4.47   24.19  349.35
L11      43.51   34.19   32.68   65.12   33.91   -7.07   34.64  348.22
L12      45.04   33.74   34.65   64.75   39.94  -10.57   41.31  345.18
L13      12.42   21.70   44.60   53.70  -47.89  -42.78   64.22  221.77
L14      31.84   14.23   35.12   44.56   84.63  -46.08   96.36  331.43
