IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
H20      25.86   25.55   14.71   57.61    6.22   14.32   15.61   66.52
H21      35.00   33.21   19.29   64.33   11.46   15.26   19.08   53.09
H22      29.05   25.97   14.84   58.01   17.25   14.67   22.64   40.38
I01       4.18    4.37    6.12   24.86    0.63  -13.59   13.60  272.65
I02       4.24    4.34    9.62   24.76    1.81  -27.46   27.52  273.77
I03       4.42    4.42   14.86   25.02    3.20  -42.25   42.37  274.33
I04       5.11    4.64   21.82   25.68    9.19  -56.54   57.28  279.23
I05      13.59   14.35   15.69   44.73   -0.54  -10.32   10.33  267.00
I06      13.70   14.32   21.07   44.69    0.33  -22.26   22.26  270.85
I07      13.90   14.36   25.98   44.75    1.38  -31.36   31.39  272.52
I08      14.63   14.56   35.19   45.02    4.68  -45.37   45.61  275.89
I09      32.14   33.96   32.48   64.93   -1.09   -7.08    7.16  261.25
I10      32.25   33.89   36.37   64.88   -0.47  -12.80   12.81  267.90
I11      32.17   33.84   40.49   64.83   -0.58  -18.42   18.43  268.20
I12      33.08   34.30   48.76   65.20    1.05  -27.87   27.89  272.16
I13      20.34   34.01   50.06   64.97  -50.35  -29.75   58.48  210.58
I14      41.15   22.00   44.99   54.02   75.68  -42.71   86.90  330.56
I15      72.17   74.72    8.24   89.26    1.32   88.66   88.67   89.15
I16       3.45    3.63    3.09   22.41    0.27   -0.69    0.74  291.37
I17      33.15   19.18    4.23   50.89   63.00   41.03   75.18   33.07
I18      13.51   26.34    6.58   58.36  -59.73   42.10   73.08  144.82
I19       8.21    5.23   32.31   27.38   34.06  -71.57   79.26  295.45
I20      33.56   33.00   21.93   64.16    7.25    9.58   12.01   52.88
I21      27.58   25.86   17.10   57.90   11.93    9.04   14.97   37.15
I22      36.50   32.63   21.97   63.86   18.50    8.99   20.57   25.92
J01       1.17    1.00    1.92    8.99    8.32  -14.06   16.34  300.61
J02       1.39    0.99    3.98    8.87   15.61  -29.96   33.78  297.52
J03       1.72    1.02    6.64    9.18   23.16  -42.98   48.82  298.32
J04       2.22    1.09   10.61    9.70   32.50  -56.67   65.33  299.83
J05       8.75    8.56   10.14   35.12    5.43  -11.32   12.55  295.63
J06       9.41    8.33   14.48   34.65   12.90  -24.67   27.84  297.61
J07      10.18    8.36   18.61   34.72   18.69  -34.33   39.09  298.56
J08      11.32    8.38   27.34   34.76   27.06  -50.90   57.65  298.00
J09      27.11   27.87   26.71   59.77    1.99   -6.71    7.00  286.52
J10      27.44   27.43   29.96   59.37    5.03  -12.76   13.72  291.51
J11      27.86   27.17   32.65   59.13    7.73  -17.33   18.98  294.04
J12      29.65   27.57   39.70   59.49   13.13  -26.60   29.66  296.27
J13      17.25   30.10   47.62   61.74  -52.31  -32.52   61.59  211.87
